"ARCHEM ID","Source object (or soil sample)","Catalog #","Object current location","Context","Object condition","Petrography","Object image","Petrography image","Object URL","Site name","Excavation team","Date found (dd-mon-yy)","Object notes","Sample type","Sample quality","Quality notes","Sample number","Sample solvent","Buchi","Swished","Boiled manually","Photo","Sample date (dd-mon-yy)","Sampling location","Sampling team","Subsample amount taken","Instrumentation solvent","Date of GC-MS analysis (dd-mon-yy)","Instrumentation team","GC-MS location","Equipment used","Column used","Notes on GC-MS","GC-MS file location","Stored in plastic","Plastic in GC-MS","Diagnostic compounds","Proposed Interpretation","Interpretation certainty","Interpretation notes"
,"squat stirrup jar","MS4140",,,,,,,,"Gournia?",,,"mislabeled as MS4156A",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"squat stirrup jar","MS4146",,,,,,,,"Gournia ",,,"not studied by us",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"stirrup jar (degenerate octopus)","MS4156",,,,,,,,"Gournia",,,"not studied - 32 pieces",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"mini stirrup jar","MS4166",,,,,,,,"Gournia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"stirrup jar  ","MS4167",,,,,,,,"Gournia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"knife blade","MS4472",,,,,,,,"Kavousi",,,"not studied by us - knife",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"globular stirrup jar","MS4491",,,,,,,,"Episkopi",,,"not studied by us",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"globular stirrup jar","MS4492",,,,,,,,"Episkopi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"globular stirrup jar","MS 4493",,,,,,,,"Episkopi",,,"not studied by us",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"globular stirrup jar","MS4494",,,,,,,,"Tourloti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"piriform stirrup jar","MS4495",,,,,,,,"Episkopi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"squat stirrup jar","MS4496",,,,,,,,"Episkopi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"squat stirrup jar","MS4497",,,,,,,,"Episkopi",,,"not studied by us",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"squat stirrup jar","MS4498",,,,,,,,"Episkopi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"amphora","MS4499",,,,,,,,"Episkopi",,,"not studied by us",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"askos","MS4501",,,,,,,,"Kavousi",,,"not studied by us",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"pyxis","MS4667",,,,,,,,"Gournia",,,"not studied by us",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"globular stirrup jar","MS5873",,,,,,,,"unknown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
